Scheduler,Avg Wait (ms),Max Wait (ms),Avg Exec (ms),Avg Turnaround (ms),Makespan (ms),Throughput (gates/s),GPU Util (%),circuit,batch,Jain's,Avg Slowdown,Max Slowdown,Wtd Slowdown
level-level task execution,0.0381,0.0562,0.0209,0.059,0.4293,5597686,70.0464,imbalanced_5,512,0.9987,3.2077,4.7723,6.0373
FIFO (batch blocking),1.7642,5.0419,0.018,1.7822,28.8489,25410.8262,1.879,imbalanced_2,32,0.9961,100.5849,305.9575,172.431
fanin_priority (batch blocking),1.6321,12.7034,0.0178,1.6499,28.9986,25282.166,1.9571,imbalanced_2,32,0.9987,93.291,769.4907,143.558
DependencyAware (batch blocking),2.6457,9.3905,0.0213,2.667,35.7653,20559.2148,1.7377,imbalanced_2,32,0.9972,132.4746,515.75,220.3857
SJF (batch blocking),1.7565,10.322,0.0194,1.7759,29.6259,24775.5547,1.8867,imbalanced_2,32,0.9979,95.8614,582.5693,171.1583
FIFO (single-gate non-blocking),2.1003,6.2108,0.0721,2.1724,32.7061,22455.3965,77.9372,imbalanced_2,32,0.9972,52.1225,364.1249,87.0821
fanin_priority (single-gate non-blocking),1.4952,26.5016,0.0737,1.5688,33.5578,21889.8633,77.839,imbalanced_2,32,0.9894,21.214,342.5278,27.532
DependencyAware (single-gate non-blocking),4.2818,28.8105,0.0956,4.3773,44.2165,16730.0762,77.1677,imbalanced_2,32,1,50.5828,484.144,76.9364
SJF (single-gate non-blocking),1.653,12.2544,0.0757,1.7287,34.5427,21400.6992,77.8016,imbalanced_2,32,0.9718,34.8401,567.2394,56.8709
FIFO (batch non-blocking),1.2478,5.0817,0.6167,1.8645,30.0705,24588.4062,52.9485,imbalanced_2,32,0.9969,36.8509,134.1642,71.7309
fanin_priority (batch non-blocking),1.223,5.5272,0.7061,1.9291,29.9708,24579.793,49.5697,imbalanced_2,32,0.9972,24.873,98.1967,51.9024
DependencyAware (batch non-blocking),1.5482,6.7789,0.9009,2.4491,33.1683,22111.5234,59.3666,imbalanced_2,32,0.9973,9.2979,67.9778,19.044
SJF (batch non-blocking),1.1467,5.1063,0.6735,1.8202,29.1294,25166.457,49.3629,imbalanced_2,32,0.997,22.9891,99.8884,43.4188
level-level task execution,0.0326,0.0596,0.0248,0.0574,0.4113,1790436.375,68.1737,imbalanced_2,32,0.9949,2.7878,5.3403,5.1791
FIFO (batch blocking),0.3258,1.1605,0.0253,0.3511,4.5999,54333.875,8.1624,c499,32,,,,
fanin_priority (batch blocking),0.3168,1.1625,0.0256,0.3424,4.7056,53088.9141,8.6766,c499,32,,,,
DependencyAware (batch blocking),0.4516,1.3327,0.0268,0.4784,5.4407,45822.6328,7.778,c499,32,,,,
SJF (batch blocking),0.3203,1.0668,0.025,0.3453,4.6379,54026.5117,8.8813,c499,32,,,,
FIFO (single-gate non-blocking),0.5161,1.0184,0.0447,0.5609,6.2749,39775.3242,82.1361,c499,32,,,,
fanin_priority (single-gate non-blocking),0.3901,2.7176,0.0435,0.4336,6.1673,40518.9805,81.7382,c499,32,,,,
DependencyAware (single-gate non-blocking),0.7094,1.5794,0.0546,0.764,7.7709,32083.1152,81.0867,c499,32,,,,
SJF (single-gate non-blocking),0.3339,2.3964,0.045,0.3789,6.3681,39128.3438,81.8963,c499,32,,,,
FIFO (batch non-blocking),0.2974,0.7039,0.0661,0.3636,4.5374,55189.207,31.9907,c499,32,,,,
fanin_priority (batch non-blocking),0.2864,0.7006,0.0742,0.3606,4.5622,54619.9609,33.2104,c499,32,,,,
DependencyAware (batch non-blocking),0.3136,0.6518,0.174,0.4876,5.3636,46594.6133,43.2484,c499,32,,,,
SJF (batch non-blocking),0.2886,0.7166,0.0736,0.3622,4.6077,54089.1055,33.0538,c499,32,,,,
level-level task execution,0.0146,0.0241,0.0218,0.0364,0.2502,1004515.313,58.1617,c499,32,,,,
FIFO (batch blocking),2.0719,5.5727,0.0225,2.0944,34.7306,21991.1699,1.6704,c3540,128,,,,
