Scheduler,Avg Wait (ms),Max Wait (ms),Avg Exec (ms),Avg Turnaround (ms),Makespan (ms),Throughput (gates/s),GPU Util (%),circuit,batch,Jain's,Avg Slowdown,Max Slowdown,Wtd Slowdown
DependencyAware (batch blocking),45.2425,365.5902,0.0259,45.2683,438.0295,5495.605,0.4608,imbalanced_5,32,1,1874.0143,16254.4092,3219.5449
SJF (batch blocking),17.6165,246.0678,0.0229,17.6394,323.7283,7415.5654,0.5658,imbalanced_5,32,1,822.1406,13163.4453,1905.7107
FIFO (single-gate non-blocking),22.0452,42.6578,0.2186,22.2638,341.4676,7083.9312,75.9349,imbalanced_5,32,0.9999,367.2655,2427.9324,696.0145
fanin_priority (single-gate non-blocking),9.8754,322.8538,0.2255,10.1009,353.4752,6833.9463,75.8587,imbalanced_5,32,0.993,52.6287,5644.4531,67.7866
DependencyAware (single-gate non-blocking),51.5392,422.6742,0.3106,51.8498,486.9128,4981.4141,75.7327,imbalanced_5,32,1,192.5098,4709.4014,312.918
SJF (single-gate non-blocking),16.3762,248.2751,0.2277,16.6039,356.5795,6841.2568,75.8887,imbalanced_5,32,1,183.1046,11620.541,349.8732
FIFO (batch non-blocking),16.5828,40.8397,5.3295,21.9123,339.465,7159.9971,72.072,imbalanced_5,32,0.9999,103.8003,633.0323,203.0262
fanin_priority (batch non-blocking),12.1819,136.6508,5.298,17.4799,351.2684,6918.3818,73.6519,imbalanced_5,32,0.9998,36.5362,203.705,90.7379
DependencyAware (batch non-blocking),30.5246,233.3591,7.8215,38.346,418.3329,5838.2568,76.1928,imbalanced_5,32,0.9999,9.1522,79.2923,18.5638
SJF (batch non-blocking),15.0421,192.7681,5.4414,20.4835,341.2404,7104.1313,70.8575,imbalanced_5,32,0.9997,36.7755,521.0228,62.4599
level-level task execution,0.0438,0.0653,0.0231,0.0669,0.4904,5096239,68.8456,imbalanced_5,32,0.9986,3.3086,4.7963,6.2416
FIFO (batch blocking),4.157,25.2453,0.0237,4.1807,174.2511,10028.709,1.0909,c6288,32,,,,
fanin_priority (batch blocking),4.1558,28.0009,0.0213,4.1772,170.2008,10292.1338,1.0231,c6288,32,,,,
DependencyAware (batch blocking),4.9028,35.1657,0.0219,4.9247,182.4889,9624.7324,0.9713,c6288,32,,,,
SJF (batch blocking),4.2431,34.4046,0.0236,4.2667,175.3782,9995.3672,1.0893,c6288,32,,,,
FIFO (single-gate non-blocking),4.214,26.5111,0.1632,4.3773,184.4996,9528.667,75.9054,c6288,32,,,,
fanin_priority (single-gate non-blocking),1.2202,153.0175,0.1591,1.3793,181.7558,9650.2148,75.4874,c6288,32,,,,
DependencyAware (single-gate non-blocking),6.2381,155.7976,0.1816,6.4198,204.2918,8604.249,75.9365,c6288,32,,,,
SJF (single-gate non-blocking),3.7399,80.9967,0.1572,3.8972,180.0869,9743.1191,75.3865,c6288,32,,,,
FIFO (batch non-blocking),3.3278,15.1525,0.7012,4.0291,169.3353,10345.5547,11.9817,c6288,32,,,,
fanin_priority (batch non-blocking),3.4657,28.6653,0.7392,4.2049,173.2739,10091.916,12.3982,c6288,32,,,,
DependencyAware (batch non-blocking),3.9366,21.9177,1.0237,4.9603,180.2292,9670.6543,17.0407,c6288,32,,,,
SJF (batch non-blocking),3.4735,28.5998,0.7359,4.2094,172.6868,10196.7207,12.3417,c6288,32,,,,
level-level task execution,0.0122,0.0171,0.0186,0.0308,0.2697,6574024,60.7547,c6288,32,,,,
FIFO (batch blocking),0.2621,0.5499,0.0173,0.2794,3.4721,71856.6484,6.9807,c499,512,,,,
fanin_priority (batch blocking),0.2667,0.5375,0.0172,0.2839,3.5094,71108.75,6.9512,c499,512,,,,
DependencyAware (batch blocking),0.3569,0.6955,0.0176,0.3744,4.2007,59597.4453,5.9451,c499,512,,,,
